leaf.rate,leaf.rate100,chilling,photoperiod,treatment
0.333,33.3,C1,P10,C1P10
1,100,C1,P10,C1P10
0,0,C1,P10,C1P10
0.833,83.3,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.714,71.4,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0,0,C1,P10,C1P10
0,0,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0.5,50,C1,P10,C1P10
0,0,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0.333,33.3,C1,P10,C1P10
1,100,C1,P10,C1P10
0,0,C1,P10,C1P10
0.833,83.3,C1,P10,C1P10
0.143,14.3,C1,P10,C1P10
0.667,66.7,C1,P10,C1P10
0.167,16.7,C1,P10,C1P10
0,0,C1,P10,C1P10
0.667,66.7,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0,0,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0.8,80,C1,P12,C1P12
1,100,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0,0,C1,P12,C1P12
0.667,66.7,C1,P12,C1P12
1,100,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.833,83.3,C1,P12,C1P12
0.167,16.7,C1,P12,C1P12
0,0,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0,0,C1,P12,C1P12
0.333,33.3,C1,P12,C1P12
0.5,50,C1,P12,C1P12
1,100,C1,P12,C1P12
0,0,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.2,20,C1,P12,C1P12
0.5,50,C1,P12,C1P12
0.667,66.7,C1,P12,C1P12
0.25,25,C1,P12,C1P12
0.333,33.3,C1,P14,C1P14
0.833,83.3,C1,P14,C1P14
0,0,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0,0,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
1,100,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
1,100,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0,0,C1,P14,C1P14
0.5,50,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.167,16.7,C1,P14,C1P14
0.333,33.3,C1,P14,C1P14
1,100,C1,P14,C1P14
0.5,50,C1,P14,C1P14
0.833,83.3,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
0.667,66.7,C1,P14,C1P14
