species,dif.leaf,status,chilling,photoperiod,group
垂珠花,39,2,C1,P10,C1/P10
垂珠花,21,2,C1,P10,C1/P10
短柄枹,23,2,C1,P10,C1/P10
短柄枹,21,2,C1,P10,C1/P10
短柄枹,23,2,C1,P10,C1/P10
短柄枹,19,2,C1,P10,C1/P10
短柄枹,23,2,C1,P10,C1/P10
短柄枹,23,2,C1,P10,C1/P10
光叶石楠,21,2,C1,P10,C1/P10
光叶石楠,16,2,C1,P10,C1/P10
光叶石楠,33,2,C1,P10,C1/P10
光叶石楠,14,2,C1,P10,C1/P10
光叶石楠,21,2,C1,P10,C1/P10
红淡比,33,2,C1,P10,C1/P10
红枝柴,54,2,C1,P10,C1/P10
黄瑞木,21,2,C1,P10,C1/P10
黄瑞木,33,2,C1,P10,C1/P10
黄瑞木,37,2,C1,P10,C1/P10
灰白蜡瓣花,30,2,C1,P10,C1/P10
灰白蜡瓣花,23,2,C1,P10,C1/P10
灰白蜡瓣花,37,2,C1,P10,C1/P10
灰白蜡瓣花,37,2,C1,P10,C1/P10
灰白蜡瓣花,33,2,C1,P10,C1/P10
檵木,23,2,C1,P10,C1/P10
檵木,19,2,C1,P10,C1/P10
檵木,21,2,C1,P10,C1/P10
檵木,23,2,C1,P10,C1/P10
矩叶卫矛,14,2,C1,P10,C1/P10
雷公鹅耳枥,56,2,C1,P10,C1/P10
雷公鹅耳枥,56,2,C1,P10,C1/P10
雷公鹅耳枥,56,2,C1,P10,C1/P10
马银花,25,2,C1,P10,C1/P10
马银花,21,2,C1,P10,C1/P10
马银花,37,2,C1,P10,C1/P10
马银花,21,2,C1,P10,C1/P10
满山红,30,2,C1,P10,C1/P10
毛八角枫,28,2,C1,P10,C1/P10
毛花连蕊茶,52,2,C1,P10,C1/P10
毛花连蕊茶,37,2,C1,P10,C1/P10
美丽马醉木,21,2,C1,P10,C1/P10
美丽马醉木,41,2,C1,P10,C1/P10
美丽马醉木,23,2,C1,P10,C1/P10
美丽马醉木,25,2,C1,P10,C1/P10
南酸枣,19,2,C1,P10,C1/P10
南酸枣,23,2,C1,P10,C1/P10
拟赤杨,14,2,C1,P10,C1/P10
披针叶茴香,56,2,C1,P10,C1/P10
披针叶茴香,21,2,C1,P10,C1/P10
披针叶茴香,30,2,C1,P10,C1/P10
披针叶茴香,37,2,C1,P10,C1/P10
石斑木,19,2,C1,P10,C1/P10
石斑木,23,2,C1,P10,C1/P10
石斑木,52,2,C1,P10,C1/P10
薯豆,25,2,C1,P10,C1/P10
薯豆,25,2,C1,P10,C1/P10
薯豆,30,2,C1,P10,C1/P10
乌冈栎,21,2,C1,P10,C1/P10
小果石笔木,52,2,C1,P10,C1/P10
小果石笔木,23,2,C1,P10,C1/P10
小叶石楠,25,2,C1,P10,C1/P10
小叶石楠,48,2,C1,P10,C1/P10
小叶石楠,28,2,C1,P10,C1/P10
小叶石楠,28,2,C1,P10,C1/P10
小叶石楠,25,2,C1,P10,C1/P10
映山红,28,2,C1,P10,C1/P10
映山红,28,2,C1,P10,C1/P10
映山红,25,2,C1,P10,C1/P10
映山红,23,2,C1,P10,C1/P10
映山红,25,2,C1,P10,C1/P10
郁香野茉莉,21,2,C1,P10,C1/P10
浙江柿,19,2,C1,P10,C1/P10
浙江柿,19,2,C1,P10,C1/P10
浙江柿,28,2,C1,P10,C1/P10
浙江柿,23,2,C1,P10,C1/P10
浙闽樱,11,2,C1,P10,C1/P10
垂珠花,56,1,C1,P10,C1/P10
垂珠花,56,1,C1,P10,C1/P10
垂珠花,56,1,C1,P10,C1/P10
垂珠花,56,1,C1,P10,C1/P10
枫香,33,1,C1,P10,C1/P10
枫香,56,1,C1,P10,C1/P10
枫香,56,1,C1,P10,C1/P10
枫香,56,1,C1,P10,C1/P10
